tiempo,H1,H2,H3,H4,V1,V2,Gamma_1,Gamma_2,modo,ref_H1,ref_H2,Ki,Kd,Kp,Kw,Filtro
41.645,21.536989691790424,26.04902321806087,4.309120369590572,10.805440076038684,-1.0,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
42.141,21.022129406044485,25.601193606172394,4.008309691180464,10.459593981994733,-1.0,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
42.696,20.4433435497676,25.098426005397652,3.6760143903498212,10.074228126988197,-0.6998712662008341,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
43.127,20.23698013392224,24.919346839573656,3.5590635722632578,9.93771389620645,-0.7412050923617812,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
43.668,19.552850171828926,24.182933264271924,3.0857568337138974,9.47713352540816,0.3216656153482424,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
44.256,19.52164516655053,23.812182475961436,2.851881160391223,9.430934825473864,0.2702410366227256,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
44.652,19.498000568744814,23.553717327661598,2.690398666888191,9.39880178356729,0.3626862248520618,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
45.133,19.42979460344965,22.987085227785325,2.3411032265333596,9.322302877613213,0.648239838513739,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
45.637,19.4685132996552,22.499851806763463,2.0460977765140522,9.317296914092351,0.7575412669033676,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
46.313,19.550071171498736,22.05186485050053,1.7793074065308696,9.342892883928949,0.8858791294547377,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
46.852,19.65943651568422,21.718007760129574,1.583376432027539,9.392524360772587,0.8892159401605426,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
47.195,19.770977157269346,21.365946449666026,1.379590816597865,9.444809744915968,0.7933809156960313,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
47.648,19.910777301720017,20.846993964030414,1.085002341010994,9.511839334755358,0.6764766541044958,-1.0,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
48.221,19.974472136031746,20.39175293212327,0.8330372658776672,9.540883269272264,0.6811101056378488,-0.8280857547966556,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
48.707,19.994049614780284,20.185095673403968,0.7209184199246047,9.55018632703021,0.7021298255202719,-0.8298922470996418,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
49.174,20.049083941824822,19.66112014478498,0.4404885623071558,9.58184515139961,0.6169474816595716,-0.015699406097413993,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
49.634,20.05393801161887,19.605652309332754,0.40318313723245447,9.587800270956238,0.6209247770241968,-0.0623969803332943,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
50.129,20.055314482177458,19.58557747146567,0.3900162832686112,9.589953817379644,0.6085294556017128,0.02407925275547236,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
50.798,20.05773536281883,19.479443021553813,0.3242757869347583,9.600219960436311,0.5782364937127289,0.43129205511689994,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
51.18,20.05608037538579,19.454130647732953,0.30823244749940376,9.60281309277993,0.5660940065330151,0.6280022357745747,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
51.688,20.047088610617593,19.525645679167468,0.3388291722861259,9.601521808373644,0.5609445625496793,0.6572229454937843,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
52.44,20.02017528065506,19.868440321743357,0.4874858352258994,9.592249737178392,0.5825551241489871,0.26453166006619877,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
52.846,20.01637506314022,19.908310805459998,0.49481722416758633,9.591375279934033,0.5752546437035,0.3417066285860412,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
53.209,20.013642776983197,19.938949249962157,0.5002880663231742,9.590704310732507,0.5717195264694716,0.3604160434557799,0.6,0.7,Automático,20.0,20.0,0.8,0.6,1.0,1.0,0.5
